Date,Produit,Catégorie,Client_ID,Quantité,Prix_Unitaire,Moyen_Paiement
2024-11-23,"TV LG 42""",Électronique,C0080,1,350000,Mobile Money
2024-08-09,Laptop HP,Informatique,C0066,3,300000,Cash
2024-05-20,Chaussures Nike,Mode,C0054,4,45000,Mobile Money
2024-02-29,Laptop HP,Informatique,C0024,5,300000,Carte bancaire
2024-10-06,Chaussures Nike,Mode,C0058,5,45000,Cash
2024-05-23,Casque JBL,Accessoires,C0048,3,20000,Carte bancaire
2024-04-01,Smartphone Samsung,Téléphonie,C0081,5,250000,Cash
2024-01-11,Sac à dos Puma,Mode,C0019,3,25000,Mobile Money
2024-09-15,T-shirt Zara,Mode,C0051,3,10000,Mobile Money
2024-11-07,Sac à dos Puma,Mode,C0013,2,25000,Carte bancaire
2024-01-05,Sac à dos Puma,Mode,C0024,3,25000,Mobile Money
2024-11-29,Sac à dos Puma,Mode,C0073,1,25000,Cash
2024-12-24,Chaussures Nike,Mode,C0037,4,45000,Mobile Money
2024-08-22,Smartphone Samsung,Téléphonie,C0095,1,250000,Carte bancaire
2024-12-31,Smartphone Samsung,Téléphonie,C0027,1,250000,Mobile Money
2024-02-03,Casque JBL,Accessoires,C0007,4,20000,Carte bancaire
2024-06-01,Laptop HP,Informatique,C0070,2,300000,Cash
2024-05-13,Montre Casio,Accessoires,C0050,3,18000,Mobile Money
2024-12-12,Clavier Logitech,Accessoires,C0085,3,15000,Cash
2024-11-20,T-shirt Zara,Mode,C0077,3,10000,Mobile Money
2024-03-18,Clavier Logitech,Accessoires,C0016,2,15000,Cash
2024-06-05,Montre Casio,Accessoires,C0003,1,18000,Carte bancaire
2024-05-31,Laptop HP,Informatique,C0018,4,300000,Cash
2024-06-05,T-shirt Zara,Mode,C0014,5,10000,Mobile Money
2024-07-30,T-shirt Zara,Mode,C0003,2,10000,Mobile Money
2024-12-27,Clavier Logitech,Accessoires,C0070,4,15000,Mobile Money
2024-10-17,Chaussures Nike,Mode,C0091,3,45000,Carte bancaire
2024-05-01,"TV LG 42""",Électronique,C0082,3,350000,Mobile Money
2024-12-23,Sac à dos Puma,Mode,C0021,4,25000,Cash
2024-09-03,Chaussures Nike,Mode,C0027,4,45000,Cash
2024-10-02,Sac à dos Puma,Mode,C0033,4,25000,Carte bancaire
2024-07-05,T-shirt Zara,Mode,C0040,1,10000,Cash
2024-06-16,Chaussures Nike,Mode,C0060,5,45000,Mobile Money
2024-09-04,Sac à dos Puma,Mode,C0013,4,25000,Carte bancaire
2024-10-11,Smartphone Samsung,Téléphonie,C0029,2,250000,Carte bancaire
2024-02-02,Chaussures Nike,Mode,C0098,2,45000,Cash
2024-05-15,Laptop HP,Informatique,C0016,2,300000,Carte bancaire
2024-10-30,T-shirt Zara,Mode,C0050,5,10000,Cash
2024-01-09,Clavier Logitech,Accessoires,C0014,2,15000,Cash
2024-12-04,"TV LG 42""",Électronique,C0074,5,350000,Cash
2024-06-30,Sac à dos Puma,Mode,C0007,2,25000,Cash
2024-04-19,Smartphone Samsung,Téléphonie,C0100,3,250000,Mobile Money
2024-01-17,"TV LG 42""",Électronique,C0030,4,350000,Carte bancaire
2024-06-23,Laptop HP,Informatique,C0015,1,300000,Cash
2024-06-04,Chaussures Nike,Mode,C0092,4,45000,Cash
2024-04-05,Laptop HP,Informatique,C0088,4,300000,Carte bancaire
2024-07-15,Laptop HP,Informatique,C0045,1,300000,Mobile Money
2024-01-05,T-shirt Zara,Mode,C0007,4,10000,Carte bancaire
2024-04-17,Chaussures Nike,Mode,C0012,5,45000,Cash
2024-11-18,Casque JBL,Accessoires,C0064,5,20000,Cash
2024-10-30,Laptop HP,Informatique,C0076,2,300000,Cash
2024-11-01,Chaussures Nike,Mode,C0017,2,45000,Mobile Money
2024-06-13,Laptop HP,Informatique,C0002,5,300000,Cash
2024-01-17,Sac à dos Puma,Mode,C0006,2,25000,Mobile Money
2024-01-09,Sac à dos Puma,Mode,C0028,3,25000,Carte bancaire
2024-07-23,Clavier Logitech,Accessoires,C0051,4,15000,Carte bancaire
2024-05-02,Smartphone Samsung,Téléphonie,C0002,3,250000,Mobile Money
2024-10-30,T-shirt Zara,Mode,C0074,3,10000,Carte bancaire
2024-06-21,Casque JBL,Accessoires,C0053,1,20000,Cash
2024-03-05,Laptop HP,Informatique,C0009,5,300000,Mobile Money
2024-09-15,Smartphone Samsung,Téléphonie,C0021,5,250000,Carte bancaire
2024-06-13,Clavier Logitech,Accessoires,C0034,4,15000,Cash
2024-09-21,Smartphone Samsung,Téléphonie,C0096,2,250000,Carte bancaire
2024-11-19,Casque JBL,Accessoires,C0032,4,20000,Mobile Money
2024-10-05,"TV LG 42""",Électronique,C0061,5,350000,Carte bancaire
2024-06-01,Clavier Logitech,Accessoires,C0063,3,15000,Mobile Money
2024-02-07,Smartphone Samsung,Téléphonie,C0010,2,250000,Cash
2024-12-01,"TV LG 42""",Électronique,C0016,3,350000,Cash
2024-09-01,Montre Casio,Accessoires,C0006,4,18000,Mobile Money
2024-05-17,Sac à dos Puma,Mode,C0084,5,25000,Cash
2024-02-21,Laptop HP,Informatique,C0011,5,300000,Cash
2024-07-29,Sac à dos Puma,Mode,C0097,3,25000,Mobile Money
2024-11-07,Smartphone Samsung,Téléphonie,C0051,1,250000,Mobile Money
2024-12-06,Casque JBL,Accessoires,C0096,4,20000,Cash
2024-07-22,Sac à dos Puma,Mode,C0014,2,25000,Mobile Money
2024-01-13,Smartphone Samsung,Téléphonie,C0059,3,250000,Cash
2024-10-03,Laptop HP,Informatique,C0070,1,300000,Carte bancaire
2024-09-17,Casque JBL,Accessoires,C0046,3,20000,Mobile Money
2024-11-12,"TV LG 42""",Électronique,C0015,1,350000,Cash
2024-02-29,Clavier Logitech,Accessoires,C0066,1,15000,Carte bancaire
2024-12-27,Casque JBL,Accessoires,C0034,2,20000,Mobile Money
2024-04-04,Chaussures Nike,Mode,C0045,2,45000,Carte bancaire
2024-10-20,Laptop HP,Informatique,C0043,1,300000,Mobile Money
2024-05-02,Sac à dos Puma,Mode,C0085,1,25000,Mobile Money
2024-02-15,"TV LG 42""",Électronique,C0080,1,350000,Carte bancaire
2024-10-25,Sac à dos Puma,Mode,C0036,2,25000,Cash
2024-11-11,"TV LG 42""",Électronique,C0088,4,350000,Carte bancaire
2024-11-03,Chaussures Nike,Mode,C0064,3,45000,Mobile Money
2024-07-29,T-shirt Zara,Mode,C0048,5,10000,Cash
2024-04-28,Casque JBL,Accessoires,C0030,3,20000,Cash
2024-10-30,"TV LG 42""",Électronique,C0097,3,350000,Mobile Money
2024-11-05,Casque JBL,Accessoires,C0019,3,20000,Carte bancaire
2024-01-06,Sac à dos Puma,Mode,C0040,2,25000,Carte bancaire
2024-02-29,Montre Casio,Accessoires,C0075,4,18000,Carte bancaire
2024-04-20,Sac à dos Puma,Mode,C0071,1,25000,Mobile Money
2024-08-05,Clavier Logitech,Accessoires,C0098,2,15000,Mobile Money
2024-04-13,Casque JBL,Accessoires,C0081,1,20000,Carte bancaire
2024-09-16,Chaussures Nike,Mode,C0021,4,45000,Mobile Money
2024-04-06,Laptop HP,Informatique,C0098,4,300000,Mobile Money
2024-09-05,Laptop HP,Informatique,C0083,3,300000,Cash
2024-05-20,Smartphone Samsung,Téléphonie,C0023,4,250000,Carte bancaire
2024-06-14,Laptop HP,Informatique,C0060,3,300000,Cash
2024-08-21,Montre Casio,Accessoires,C0072,5,18000,Cash
2024-08-05,Sac à dos Puma,Mode,C0045,3,25000,Mobile Money
2024-11-07,Clavier Logitech,Accessoires,C0022,3,15000,Cash
2024-10-26,Montre Casio,Accessoires,C0095,2,18000,Mobile Money
2024-01-14,Chaussures Nike,Mode,C0051,2,45000,Mobile Money
2024-11-14,Laptop HP,Informatique,C0073,3,300000,Carte bancaire
2024-01-14,Sac à dos Puma,Mode,C0060,3,25000,Carte bancaire
2024-06-16,Laptop HP,Informatique,C0033,3,300000,Mobile Money
2024-01-18,Casque JBL,Accessoires,C0058,2,20000,Cash
2024-04-27,Sac à dos Puma,Mode,C0039,4,25000,Carte bancaire
2024-01-12,T-shirt Zara,Mode,C0017,2,10000,Cash
2024-10-22,Casque JBL,Accessoires,C0053,1,20000,Mobile Money
2024-07-12,"TV LG 42""",Électronique,C0032,3,350000,Carte bancaire
2024-10-30,Montre Casio,Accessoires,C0085,1,18000,Mobile Money
2024-03-29,Clavier Logitech,Accessoires,C0065,5,15000,Carte bancaire
2024-05-23,Montre Casio,Accessoires,C0088,5,18000,Carte bancaire
2024-03-09,Montre Casio,Accessoires,C0070,5,18000,Carte bancaire
2024-05-25,Clavier Logitech,Accessoires,C0038,1,15000,Carte bancaire
2024-03-12,"TV LG 42""",Électronique,C0014,1,350000,Carte bancaire
2024-08-10,T-shirt Zara,Mode,C0015,4,10000,Carte bancaire
2024-03-18,Casque JBL,Accessoires,C0025,5,20000,Mobile Money
2024-08-20,Smartphone Samsung,Téléphonie,C0077,2,250000,Cash
2024-07-18,Smartphone Samsung,Téléphonie,C0080,1,250000,Mobile Money
2024-02-20,Smartphone Samsung,Téléphonie,C0058,4,250000,Mobile Money
2024-01-04,Sac à dos Puma,Mode,C0056,4,25000,Mobile Money
2024-10-30,Casque JBL,Accessoires,C0054,5,20000,Carte bancaire
2024-08-13,Casque JBL,Accessoires,C0034,5,20000,Carte bancaire
2024-09-18,Chaussures Nike,Mode,C0014,3,45000,Carte bancaire
2024-02-19,Clavier Logitech,Accessoires,C0048,5,15000,Mobile Money
2024-10-09,Chaussures Nike,Mode,C0004,3,45000,Mobile Money
2024-01-26,Sac à dos Puma,Mode,C0097,4,25000,Mobile Money
2024-11-21,"TV LG 42""",Électronique,C0040,5,350000,Mobile Money
2024-09-18,Casque JBL,Accessoires,C0022,3,20000,Cash
2024-12-29,Casque JBL,Accessoires,C0019,4,20000,Carte bancaire
2024-02-12,T-shirt Zara,Mode,C0072,5,10000,Carte bancaire
2024-03-08,Smartphone Samsung,Téléphonie,C0066,4,250000,Cash
2024-09-05,Chaussures Nike,Mode,C0012,3,45000,Carte bancaire
2024-12-27,Smartphone Samsung,Téléphonie,C0066,5,250000,Carte bancaire
2024-11-03,Casque JBL,Accessoires,C0078,4,20000,Mobile Money
2024-11-29,T-shirt Zara,Mode,C0030,2,10000,Cash
2024-02-26,"TV LG 42""",Électronique,C0098,1,350000,Carte bancaire
2024-12-09,Clavier Logitech,Accessoires,C0061,5,15000,Carte bancaire
2024-03-28,Laptop HP,Informatique,C0045,5,300000,Mobile Money
2024-05-14,Smartphone Samsung,Téléphonie,C0033,2,250000,Cash
2024-04-15,Casque JBL,Accessoires,C0079,5,20000,Cash
2024-09-26,Casque JBL,Accessoires,C0036,3,20000,Carte bancaire
2024-02-07,Casque JBL,Accessoires,C0092,2,20000,Mobile Money
2024-09-21,T-shirt Zara,Mode,C0011,5,10000,Mobile Money
2024-02-04,Clavier Logitech,Accessoires,C0077,1,15000,Carte bancaire
2024-11-20,Clavier Logitech,Accessoires,C0013,4,15000,Mobile Money
2024-01-22,"TV LG 42""",Électronique,C0075,1,350000,Carte bancaire
2024-01-30,Sac à dos Puma,Mode,C0024,5,25000,Mobile Money
2024-08-06,Sac à dos Puma,Mode,C0014,2,25000,Mobile Money
2024-07-03,Casque JBL,Accessoires,C0010,1,20000,Carte bancaire
2024-04-16,Casque JBL,Accessoires,C0002,3,20000,Mobile Money
2024-05-02,Casque JBL,Accessoires,C0008,5,20000,Carte bancaire
2024-06-28,Smartphone Samsung,Téléphonie,C0056,1,250000,Carte bancaire
2024-08-09,Montre Casio,Accessoires,C0068,1,18000,Cash
2024-03-01,Chaussures Nike,Mode,C0083,1,45000,Carte bancaire
2024-02-12,Clavier Logitech,Accessoires,C0067,2,15000,Carte bancaire
2024-12-05,T-shirt Zara,Mode,C0099,5,10000,Cash
2024-11-23,T-shirt Zara,Mode,C0038,2,10000,Mobile Money
2024-09-28,Chaussures Nike,Mode,C0071,2,45000,Cash
2024-01-20,Smartphone Samsung,Téléphonie,C0052,3,250000,Cash
2024-12-26,Sac à dos Puma,Mode,C0049,3,25000,Mobile Money
2024-06-07,"TV LG 42""",Électronique,C0044,5,350000,Cash
2024-12-26,Clavier Logitech,Accessoires,C0068,3,15000,Mobile Money
2024-02-17,Chaussures Nike,Mode,C0011,4,45000,Carte bancaire
2024-09-29,T-shirt Zara,Mode,C0087,2,10000,Carte bancaire
2024-06-21,T-shirt Zara,Mode,C0099,3,10000,Carte bancaire
2024-08-11,T-shirt Zara,Mode,C0099,3,10000,Mobile Money
2024-02-23,"TV LG 42""",Électronique,C0053,1,350000,Carte bancaire
2024-10-18,Montre Casio,Accessoires,C0001,5,18000,Carte bancaire
2024-09-29,Laptop HP,Informatique,C0027,3,300000,Cash
2024-07-12,Smartphone Samsung,Téléphonie,C0089,5,250000,Mobile Money
2024-10-26,T-shirt Zara,Mode,C0086,1,10000,Carte bancaire
2024-10-22,Laptop HP,Informatique,C0071,5,300000,Carte bancaire
2024-03-10,Smartphone Samsung,Téléphonie,C0051,4,250000,Cash
2024-11-29,Casque JBL,Accessoires,C0080,5,20000,Cash
2024-05-29,T-shirt Zara,Mode,C0032,2,10000,Carte bancaire
2024-04-28,Montre Casio,Accessoires,C0053,5,18000,Carte bancaire
2024-12-20,Clavier Logitech,Accessoires,C0002,3,15000,Mobile Money
2024-02-02,Casque JBL,Accessoires,C0002,2,20000,Carte bancaire
2024-07-15,Chaussures Nike,Mode,C0055,4,45000,Cash
2024-06-23,"TV LG 42""",Électronique,C0003,4,350000,Mobile Money
2024-07-31,Casque JBL,Accessoires,C0076,1,20000,Mobile Money
2024-08-02,Montre Casio,Accessoires,C0035,2,18000,Carte bancaire
2024-03-11,Sac à dos Puma,Mode,C0008,1,25000,Cash
2024-10-05,Sac à dos Puma,Mode,C0042,5,25000,Cash
2024-03-05,Chaussures Nike,Mode,C0057,4,45000,Carte bancaire
2024-11-22,Laptop HP,Informatique,C0055,5,300000,Cash
2024-05-23,Clavier Logitech,Accessoires,C0064,1,15000,Mobile Money
2024-05-12,Montre Casio,Accessoires,C0041,3,18000,Cash
2024-11-21,Casque JBL,Accessoires,C0080,2,20000,Carte bancaire
2024-12-21,Chaussures Nike,Mode,C0013,2,45000,Carte bancaire
2024-01-15,T-shirt Zara,Mode,C0087,2,10000,Carte bancaire
2024-03-20,T-shirt Zara,Mode,C0053,1,10000,Mobile Money
2024-03-29,Smartphone Samsung,Téléphonie,C0085,3,250000,Carte bancaire
2024-07-29,Montre Casio,Accessoires,C0092,3,18000,Cash
2024-02-20,T-shirt Zara,Mode,C0049,2,10000,Mobile Money
2024-10-31,"TV LG 42""",Électronique,C0047,4,350000,Cash
2024-12-31,T-shirt Zara,Mode,C0040,4,10000,Carte bancaire
2024-04-19,T-shirt Zara,Mode,C0091,5,10000,Mobile Money
2024-07-08,Chaussures Nike,Mode,C0008,2,45000,Carte bancaire
2024-07-08,Smartphone Samsung,Téléphonie,C0034,2,250000,Cash
2024-02-22,T-shirt Zara,Mode,C0047,3,10000,Mobile Money
2024-03-19,Montre Casio,Accessoires,C0001,3,18000,Mobile Money
2024-02-09,Sac à dos Puma,Mode,C0064,2,25000,Mobile Money
2024-09-14,"TV LG 42""",Électronique,C0018,1,350000,Cash
2024-03-29,Chaussures Nike,Mode,C0028,2,45000,Carte bancaire
2024-08-01,Smartphone Samsung,Téléphonie,C0052,1,250000,Cash
2024-05-24,Montre Casio,Accessoires,C0071,3,18000,Carte bancaire
2024-11-19,T-shirt Zara,Mode,C0054,5,10000,Mobile Money
2024-09-17,Chaussures Nike,Mode,C0071,4,45000,Carte bancaire
2024-01-26,T-shirt Zara,Mode,C0064,5,10000,Mobile Money
2024-11-26,Chaussures Nike,Mode,C0085,5,45000,Cash
2024-08-03,Casque JBL,Accessoires,C0083,3,20000,Cash
2024-05-19,"TV LG 42""",Électronique,C0024,3,350000,Cash
2024-03-21,Sac à dos Puma,Mode,C0094,4,25000,Carte bancaire
2024-05-21,Clavier Logitech,Accessoires,C0048,2,15000,Carte bancaire
2024-12-12,Sac à dos Puma,Mode,C0016,4,25000,Carte bancaire
2024-05-17,Sac à dos Puma,Mode,C0084,1,25000,Mobile Money
2024-02-17,Laptop HP,Informatique,C0001,4,300000,Mobile Money
2024-12-10,Smartphone Samsung,Téléphonie,C0073,4,250000,Carte bancaire
2024-08-23,Smartphone Samsung,Téléphonie,C0006,3,250000,Mobile Money
2024-04-08,Casque JBL,Accessoires,C0027,3,20000,Cash
2024-01-05,Casque JBL,Accessoires,C0052,5,20000,Cash
2024-08-02,Laptop HP,Informatique,C0065,1,300000,Mobile Money
2024-02-23,Laptop HP,Informatique,C0053,5,300000,Carte bancaire
2024-05-21,Smartphone Samsung,Téléphonie,C0067,5,250000,Mobile Money
2024-11-18,"TV LG 42""",Électronique,C0052,1,350000,Mobile Money
2024-12-26,Laptop HP,Informatique,C0075,1,300000,Carte bancaire
2024-12-21,Clavier Logitech,Accessoires,C0001,1,15000,Cash
2024-08-31,"TV LG 42""",Électronique,C0044,5,350000,Cash
2024-09-21,Montre Casio,Accessoires,C0086,4,18000,Cash
2024-12-25,Clavier Logitech,Accessoires,C0024,4,15000,Mobile Money
2024-03-12,Casque JBL,Accessoires,C0095,2,20000,Cash
2024-11-09,Montre Casio,Accessoires,C0045,1,18000,Mobile Money
2024-04-04,Clavier Logitech,Accessoires,C0019,3,15000,Mobile Money
2024-12-11,Laptop HP,Informatique,C0042,5,300000,Mobile Money
2024-04-08,Clavier Logitech,Accessoires,C0036,5,15000,Mobile Money
2024-05-25,Clavier Logitech,Accessoires,C0098,1,15000,Cash
2024-09-18,Clavier Logitech,Accessoires,C0065,5,15000,Mobile Money
2024-04-06,Casque JBL,Accessoires,C0018,2,20000,Mobile Money
2024-06-12,Sac à dos Puma,Mode,C0020,5,25000,Cash
2024-07-09,"TV LG 42""",Électronique,C0064,5,350000,Carte bancaire
2024-11-03,Laptop HP,Informatique,C0006,5,300000,Mobile Money
2024-03-30,Chaussures Nike,Mode,C0026,1,45000,Carte bancaire
2024-10-13,Montre Casio,Accessoires,C0090,5,18000,Cash
2024-02-18,Sac à dos Puma,Mode,C0055,3,25000,Cash
2024-11-17,Laptop HP,Informatique,C0013,3,300000,Mobile Money
2024-11-20,"TV LG 42""",Électronique,C0056,5,350000,Cash
2024-11-17,Laptop HP,Informatique,C0016,3,300000,Cash
2024-12-03,T-shirt Zara,Mode,C0028,4,10000,Mobile Money
2024-05-19,Montre Casio,Accessoires,C0080,1,18000,Cash
2024-02-24,Montre Casio,Accessoires,C0058,1,18000,Carte bancaire
2024-10-10,Montre Casio,Accessoires,C0057,1,18000,Carte bancaire
2024-05-12,T-shirt Zara,Mode,C0017,2,10000,Cash
2024-07-04,Clavier Logitech,Accessoires,C0090,3,15000,Carte bancaire
2024-01-11,Chaussures Nike,Mode,C0069,1,45000,Mobile Money
2024-02-28,T-shirt Zara,Mode,C0021,4,10000,Mobile Money
2024-09-26,Chaussures Nike,Mode,C0014,4,45000,Carte bancaire
2024-01-13,"TV LG 42""",Électronique,C0023,4,350000,Mobile Money
2024-10-24,Chaussures Nike,Mode,C0076,3,45000,Cash
2024-09-06,Clavier Logitech,Accessoires,C0098,1,15000,Mobile Money
2024-11-07,Laptop HP,Informatique,C0014,3,300000,Carte bancaire
2024-01-17,T-shirt Zara,Mode,C0007,2,10000,Cash
2024-04-21,Smartphone Samsung,Téléphonie,C0040,2,250000,Cash
2024-11-26,Clavier Logitech,Accessoires,C0026,1,15000,Mobile Money
2024-02-18,Sac à dos Puma,Mode,C0054,5,25000,Cash
2024-04-05,T-shirt Zara,Mode,C0063,2,10000,Mobile Money
2024-01-23,T-shirt Zara,Mode,C0007,3,10000,Mobile Money
2024-07-18,Clavier Logitech,Accessoires,C0086,3,15000,Mobile Money
2024-10-09,Sac à dos Puma,Mode,C0014,5,25000,Mobile Money
2024-11-25,Laptop HP,Informatique,C0028,5,300000,Cash
2024-09-13,Chaussures Nike,Mode,C0019,3,45000,Mobile Money
2024-03-12,Smartphone Samsung,Téléphonie,C0055,4,250000,Cash
2024-05-21,Montre Casio,Accessoires,C0056,2,18000,Carte bancaire
2024-02-21,Sac à dos Puma,Mode,C0020,5,25000,Carte bancaire
2024-05-14,"TV LG 42""",Électronique,C0039,5,350000,Cash
2024-03-10,Smartphone Samsung,Téléphonie,C0012,4,250000,Carte bancaire
2024-11-22,Sac à dos Puma,Mode,C0018,1,25000,Mobile Money
2024-04-05,T-shirt Zara,Mode,C0093,1,10000,Cash
2024-05-22,Laptop HP,Informatique,C0007,5,300000,Carte bancaire
2024-02-22,Laptop HP,Informatique,C0083,5,300000,Carte bancaire
2024-01-04,Smartphone Samsung,Téléphonie,C0027,1,250000,Cash
2024-07-11,Smartphone Samsung,Téléphonie,C0004,1,250000,Mobile Money
2024-12-14,Clavier Logitech,Accessoires,C0075,2,15000,Mobile Money
2024-06-24,Chaussures Nike,Mode,C0005,2,45000,Cash
2024-09-24,T-shirt Zara,Mode,C0018,4,10000,Carte bancaire
2024-11-03,Montre Casio,Accessoires,C0100,2,18000,Carte bancaire
2024-01-07,Chaussures Nike,Mode,C0028,2,45000,Carte bancaire
2024-06-20,Chaussures Nike,Mode,C0048,1,45000,Cash
2024-02-14,Casque JBL,Accessoires,C0099,1,20000,Mobile Money
2024-05-05,"TV LG 42""",Électronique,C0045,4,350000,Mobile Money
2024-04-10,T-shirt Zara,Mode,C0059,3,10000,Carte bancaire
2024-02-14,Laptop HP,Informatique,C0100,3,300000,Cash
2024-11-06,Laptop HP,Informatique,C0026,5,300000,Cash
2024-04-08,Smartphone Samsung,Téléphonie,C0021,3,250000,Carte bancaire
2024-04-15,T-shirt Zara,Mode,C0060,5,10000,Carte bancaire
2024-10-04,"TV LG 42""",Électronique,C0063,2,350000,Cash
2024-10-28,Montre Casio,Accessoires,C0040,2,18000,Mobile Money
2024-10-09,Sac à dos Puma,Mode,C0037,1,25000,Carte bancaire
2024-06-02,"TV LG 42""",Électronique,C0011,2,350000,Carte bancaire
2024-10-09,Clavier Logitech,Accessoires,C0081,4,15000,Cash
2024-07-01,Smartphone Samsung,Téléphonie,C0074,2,250000,Mobile Money
2024-08-26,Laptop HP,Informatique,C0037,4,300000,Cash
2024-02-11,Montre Casio,Accessoires,C0053,5,18000,Carte bancaire
2024-03-16,Smartphone Samsung,Téléphonie,C0082,2,250000,Carte bancaire
2024-12-23,Montre Casio,Accessoires,C0064,3,18000,Carte bancaire
2024-07-02,Laptop HP,Informatique,C0097,4,300000,Mobile Money
2024-06-29,Laptop HP,Informatique,C0010,3,300000,Cash
2024-08-12,Chaussures Nike,Mode,C0082,5,45000,Carte bancaire
2024-08-15,Laptop HP,Informatique,C0037,2,300000,Carte bancaire
2024-02-25,Casque JBL,Accessoires,C0026,4,20000,Carte bancaire
2024-05-15,T-shirt Zara,Mode,C0082,2,10000,Carte bancaire
2024-02-27,Casque JBL,Accessoires,C0020,5,20000,Mobile Money
2024-02-06,Chaussures Nike,Mode,C0062,4,45000,Carte bancaire
2024-06-04,Smartphone Samsung,Téléphonie,C0076,4,250000,Cash
2024-05-08,Casque JBL,Accessoires,C0045,5,20000,Mobile Money
2024-11-27,Montre Casio,Accessoires,C0005,1,18000,Cash
2024-07-08,Chaussures Nike,Mode,C0085,3,45000,Mobile Money
2024-04-30,Chaussures Nike,Mode,C0074,1,45000,Carte bancaire
2024-03-09,Sac à dos Puma,Mode,C0100,3,25000,Mobile Money
2024-12-06,"TV LG 42""",Électronique,C0071,1,350000,Cash
2024-12-19,Sac à dos Puma,Mode,C0099,1,25000,Carte bancaire
2024-05-06,"TV LG 42""",Électronique,C0046,5,350000,Mobile Money
2024-07-11,Clavier Logitech,Accessoires,C0074,2,15000,Cash
2024-04-05,Clavier Logitech,Accessoires,C0031,4,15000,Mobile Money
2024-06-25,T-shirt Zara,Mode,C0011,3,10000,Carte bancaire
2024-12-26,Laptop HP,Informatique,C0090,2,300000,Cash
2024-05-31,Sac à dos Puma,Mode,C0028,1,25000,Mobile Money
2024-03-26,Chaussures Nike,Mode,C0003,5,45000,Carte bancaire
2024-06-01,Casque JBL,Accessoires,C0006,2,20000,Mobile Money
2024-09-27,Clavier Logitech,Accessoires,C0023,4,15000,Cash
2024-10-09,Clavier Logitech,Accessoires,C0022,5,15000,Carte bancaire
2024-04-13,T-shirt Zara,Mode,C0069,1,10000,Carte bancaire
2024-03-05,Montre Casio,Accessoires,C0024,5,18000,Cash
2024-08-02,Casque JBL,Accessoires,C0092,1,20000,Cash
2024-05-04,Sac à dos Puma,Mode,C0058,4,25000,Carte bancaire
2024-04-09,Chaussures Nike,Mode,C0066,3,45000,Cash
2024-11-29,Montre Casio,Accessoires,C0095,5,18000,Mobile Money
2024-08-22,Sac à dos Puma,Mode,C0053,5,25000,Carte bancaire
2024-11-25,"TV LG 42""",Électronique,C0082,1,350000,Cash
2024-10-13,Laptop HP,Informatique,C0063,4,300000,Carte bancaire
2024-10-03,T-shirt Zara,Mode,C0049,3,10000,Cash
2024-01-28,"TV LG 42""",Électronique,C0015,1,350000,Mobile Money
2024-09-21,Chaussures Nike,Mode,C0079,2,45000,Mobile Money
2024-03-13,Smartphone Samsung,Téléphonie,C0065,4,250000,Carte bancaire
